City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Fortuna,40.5982,-124.1573,75.42,48,20,5.01,US,2021-09-29 22:08:11
93,Ribeira Grande,38.5167,-28.7,72.43,86,7,9.51,PT,2021-09-29 22:08:12
94,Tazovskiy,67.4667,78.7,33.89,98,100,17.6,RU,2021-09-29 22:08:12
95,Port Macquarie,-31.4333,152.9167,66.88,81,100,10.74,AU,2021-09-29 22:08:12
96,Warmbad,-28.45,18.7333,61.3,45,70,8.41,NA,2021-09-29 22:08:13
97,Mackay,-21.15,149.2,75.69,69,56,10.87,AU,2021-09-29 22:08:13
98,Port Keats,-14.25,129.55,80.98,76,73,4.61,AU,2021-09-29 22:08:14
99,Lazaro Cardenas,17.9583,-102.2,83.3,72,100,5.17,MX,2021-09-29 22:08:14
100,Hervey Bay,-25.2986,152.8535,74.03,79,99,12.5,AU,2021-09-29 22:08:15
101,Sandwick,60.0,-1.25,46.22,81,75,3.44,GB,2021-09-29 22:08:15
102,Yellowknife,62.456,-114.3525,50.56,99,100,3.0,CA,2021-09-29 22:08:15
103,Vanimo,-2.6741,141.3028,79.75,85,31,4.68,PG,2021-09-29 22:08:16
104,Jinji,23.2281,110.8261,78.17,82,0,2.39,CN,2021-09-29 22:08:16
105,Vestmannaeyjar,63.4427,-20.2734,45.97,65,76,19.1,IS,2021-09-29 22:08:16
106,Cabedelo,-6.9811,-34.8339,77.67,82,35,13.76,BR,2021-09-29 22:08:17
107,Khovu-Aksy,51.1333,93.6,34.0,59,94,3.69,RU,2021-09-29 22:08:17
108,Sao Joao Da Barra,-21.6403,-41.0511,73.6,85,53,11.3,BR,2021-09-29 22:08:17
109,Saint-Philippe,-21.3585,55.7679,71.15,81,45,14.65,RE,2021-09-29 22:08:18
110,Kargasok,59.0556,80.8572,37.6,78,100,6.08,RU,2021-09-29 22:08:18
111,Lebu,-37.6167,-73.65,50.76,90,100,9.48,CL,2021-09-29 22:08:18
112,Esmeraldas,-19.7625,-44.3139,79.66,39,19,4.12,BR,2021-09-29 22:08:06
113,Itarema,-2.9248,-39.9167,79.29,84,3,13.51,BR,2021-09-29 22:08:19
114,Peniche,39.3558,-9.3811,67.62,89,43,17.22,PT,2021-09-29 22:08:19
115,Caiaponia,-16.9567,-51.8103,81.77,37,93,5.75,BR,2021-09-29 22:08:19
116,Nhulunbuy,-12.2333,136.7667,81.21,74,75,8.05,AU,2021-09-29 22:08:20
117,Saint-Pierre,-21.3393,55.4781,71.24,73,0,3.44,RE,2021-09-29 22:08:20
118,Norman Wells,65.282,-126.8329,35.73,67,23,0.4,CA,2021-09-29 22:08:20
119,Avarua,-21.2078,-159.775,80.65,74,58,11.5,CK,2021-09-29 22:08:21
120,Margate,51.3813,1.3862,52.7,74,11,1.99,GB,2021-09-29 22:04:10
121,Golden,39.7555,-105.2211,65.57,83,75,6.91,US,2021-09-29 22:06:56
122,New Norfolk,-42.7826,147.0587,52.92,67,100,1.99,AU,2021-09-29 22:08:21
123,Cap Malheureux,-19.9842,57.6142,72.09,73,62,4.0,MU,2021-09-29 22:08:22
124,Lagunas,-5.2269,-75.6753,87.57,57,78,5.64,PE,2021-09-29 22:08:22
125,Broome,42.2506,-75.833,61.47,64,90,1.01,US,2021-09-29 22:08:22
126,Ashland,40.8167,-82.2665,72.75,49,0,6.35,US,2021-09-29 22:06:57
127,East London,-33.0153,27.9116,59.58,88,100,14.97,ZA,2021-09-29 22:08:23
128,Tarko-Sale,64.9225,77.785,31.35,88,21,7.34,RU,2021-09-29 22:08:23
129,Ravar,31.2656,56.8055,75.38,9,0,3.65,IR,2021-09-29 22:08:23
130,Putina,-15.4667,-69.4333,52.25,51,0,19.62,PE,2021-09-29 22:08:24
131,Cedar City,37.6775,-113.0619,59.4,36,1,8.05,US,2021-09-29 22:04:08
132,Bethel,41.3712,-73.414,64.71,65,1,8.05,US,2021-09-29 22:08:24
133,Batticaloa,7.7102,81.6924,79.81,76,100,4.52,LK,2021-09-29 22:08:25
134,Yabrud,33.9674,36.6574,56.86,59,0,3.98,SY,2021-09-29 22:08:25
135,Christchurch,-43.5333,172.6333,48.9,72,75,3.0,NZ,2021-09-29 22:08:09
136,Guerrero Negro,27.9769,-114.0611,73.22,58,0,18.19,MX,2021-09-29 22:08:26
137,Maceio,-9.6658,-35.7353,78.24,94,90,6.91,BR,2021-09-29 22:04:36
138,Naifaru,5.4444,73.3657,81.28,78,76,11.95,MV,2021-09-29 22:08:26
139,Xinqing,48.2333,129.5,37.18,88,0,4.12,CN,2021-09-29 22:08:26
140,Koster,-25.863,26.8976,60.01,75,96,16.89,ZA,2021-09-29 22:08:27
141,Verkhnevilyuysk,63.4453,120.3167,24.01,96,14,3.83,RU,2021-09-29 22:08:27
142,Tuktoyaktuk,69.4541,-133.0374,32.83,91,100,27.4,CA,2021-09-29 22:08:27
143,Mogadishu,2.0371,45.3438,78.84,81,8,12.93,SO,2021-09-29 22:08:28
144,Qaanaaq,77.484,-69.3632,16.14,79,1,8.28,GL,2021-09-29 22:08:28
145,Hobbs,32.7026,-103.136,88.39,22,20,7.0,US,2021-09-29 22:07:30
146,Deputatskiy,69.3,139.9,13.19,89,12,3.58,RU,2021-09-29 22:08:28
147,Paamiut,61.994,-49.6678,33.87,51,3,4.41,GL,2021-09-29 22:08:29
148,Warrington,53.3925,-2.5802,50.99,85,20,10.36,GB,2021-09-29 22:08:29
149,Cururupu,-1.8283,-44.8683,75.04,92,28,2.71,BR,2021-09-29 22:08:30
150,Ulladulla,-35.35,150.4667,66.09,88,96,4.23,AU,2021-09-29 22:08:30
151,Klaksvik,62.2266,-6.589,41.92,65,46,2.95,FO,2021-09-29 22:08:30
152,Husavik,66.0449,-17.3389,36.09,72,58,15.08,IS,2021-09-29 22:08:31
153,Tanout,14.9709,8.8879,84.25,50,98,11.48,NE,2021-09-29 22:08:31
154,Ponta Do Sol,32.6667,-17.1,72.23,66,13,9.44,PT,2021-09-29 22:08:32
155,Kulhudhuffushi,6.6221,73.07,81.64,77,28,11.52,MV,2021-09-29 22:08:32
156,Kavieng,-2.5744,150.7967,82.47,80,98,14.45,PG,2021-09-29 22:08:32
157,Kaspiyskiy,45.3929,47.3707,51.3,49,24,9.4,RU,2021-09-29 22:08:33
158,Rudbar,30.15,62.6,77.63,20,0,6.78,AF,2021-09-29 22:08:33
159,Zachary,30.6485,-91.1565,76.68,94,40,3.44,US,2021-09-29 22:08:33
160,Banda Aceh,5.5577,95.3222,77.79,82,99,6.62,ID,2021-09-29 22:08:33
161,Port Lincoln,-34.7333,135.8667,57.07,82,33,13.33,AU,2021-09-29 22:08:34
162,Quatre Cocos,-20.2078,57.7625,71.71,77,71,15.84,MU,2021-09-29 22:08:34
163,Leningradskiy,69.3833,178.4167,27.68,97,100,8.3,RU,2021-09-29 22:08:35
164,Clyde River,70.4692,-68.5914,30.6,87,67,2.75,CA,2021-09-29 22:08:36
165,Dunedin,-45.8742,170.5036,46.8,63,66,4.0,NZ,2021-09-29 22:05:50
166,Wufeng,27.45,104.8333,51.57,76,5,1.34,CN,2021-09-29 22:06:30
167,Bafq,31.6128,55.4107,77.59,11,0,0.45,IR,2021-09-29 22:08:36
168,Barguzin,53.6167,109.6167,29.68,94,41,3.31,RU,2021-09-29 22:08:36
169,Mossendjo,-2.9506,12.7261,72.84,86,99,3.98,CG,2021-09-29 22:08:37
170,Bashtanka,47.4072,32.4387,54.09,49,99,10.49,UA,2021-09-29 22:08:37
171,Barrow,71.2906,-156.7887,30.22,80,90,11.5,US,2021-09-29 22:08:37
172,Antalaha,-14.9003,50.2788,67.32,84,33,5.66,MG,2021-09-29 22:08:38
173,Kasongo-Lunda,-6.4667,16.8167,72.52,87,71,0.69,CD,2021-09-29 22:08:38
174,Anadyr,64.75,177.4833,16.3,92,40,15.01,RU,2021-09-29 22:08:38
175,Itaituba,-4.2761,-55.9836,80.87,70,96,1.92,BR,2021-09-29 22:08:38
176,Butaritari,3.0707,172.7902,81.64,79,98,17.2,KI,2021-09-29 22:08:39
177,Lafia,8.4833,8.5167,73.81,96,100,2.86,NG,2021-09-29 22:08:39
178,Toppenish,46.3774,-120.3087,67.01,46,100,2.13,US,2021-09-29 22:08:40
179,Hilo,19.7297,-155.09,89.28,71,20,9.22,US,2021-09-29 22:08:40
180,Avera,33.194,-82.5271,87.75,44,0,1.97,US,2021-09-29 22:08:41
181,Provideniya,64.3833,-173.3,39.31,70,90,15.66,RU,2021-09-29 22:08:41
182,Bathsheba,13.2167,-59.5167,82.99,71,59,4.36,BB,2021-09-29 22:08:41
183,Douglas,41.3,-96.167,83.43,57,40,1.99,US,2021-09-29 22:08:05
184,Talas,38.6908,35.5538,48.87,71,40,5.75,TR,2021-09-29 22:08:42
185,Calvinia,-31.4707,19.776,54.03,66,52,18.37,ZA,2021-09-29 22:08:42
186,Acari,-15.4311,-74.6158,73.26,57,18,6.87,PE,2021-09-29 22:08:43
187,Benito Juarez,19.385,-99.165,73.22,48,75,4.0,MX,2021-09-29 22:08:44
188,Mafinga,-7.25,35.0667,73.4,47,24,7.25,TZ,2021-09-29 22:08:44
189,Salalah,17.0151,54.0924,82.49,83,20,3.44,OM,2021-09-29 22:08:35
190,Esperance,-33.8667,121.9,53.33,84,26,10.69,AU,2021-09-29 22:08:45
191,Caravelas,-17.7125,-39.2481,73.76,84,0,8.84,BR,2021-09-29 22:08:45
192,Sumbawanga,-7.9667,31.6167,67.53,54,90,3.89,TZ,2021-09-29 22:07:32
193,Puerto Narino,-3.7703,-70.3831,76.95,96,100,2.77,CO,2021-09-29 22:08:45
194,Carauari,-4.8828,-66.8958,77.49,89,100,1.45,BR,2021-09-29 22:08:46
195,Rio Grande,-32.035,-52.0986,62.94,80,12,16.53,BR,2021-09-29 22:08:46
